#timestep    time     time step  time step   maximum   -----time step location----     time step
#  number    (sec)      (sec)    cfl (sec)    error    eq_loc  i_loc  j_loc  k_loc      control
     5060  5.059E-06  1.000E-09  3.097E-08  5.688E-06       0      0      0      0   fixed timestep
     5080  5.079E-06  1.000E-09  3.097E-08  4.163E-07       0      0      0      0   fixed timestep
     5100  5.099E-06  1.000E-09  3.097E-08  4.774E-07       0      0      0      0   fixed timestep
     5120  5.119E-06  1.000E-09  3.098E-08  2.000E-06       0      0      0      0   fixed timestep
     5140  5.139E-06  1.000E-09  3.098E-08  1.228E-06       0      0      0      0   fixed timestep
     5160  5.159E-06  1.000E-09  3.098E-08  1.185E-06       0      0      0      0   fixed timestep
     5180  5.179E-06  1.000E-09  3.098E-08  1.027E-06       0      0      0      0   fixed timestep
     5200  5.199E-06  1.000E-09  3.098E-08  3.644E-07       0      0      0      0   fixed timestep
     5220  5.219E-06  1.000E-09  3.099E-08  4.586E-07       0      0      0      0   fixed timestep
     5240  5.239E-06  1.000E-09  3.099E-08  9.972E-06       0      0      0      0   fixed timestep
     5260  5.259E-06  1.000E-09  3.099E-08  9.853E-06       0      0      0      0   fixed timestep
     5280  5.279E-06  1.000E-09  3.099E-08  1.839E-06       0      0      0      0   fixed timestep
     5300  5.299E-06  1.000E-09  3.099E-08  9.518E-07       0      0      0      0   fixed timestep
     5320  5.319E-06  1.000E-09  3.099E-08  1.338E-06       0      0      0      0   fixed timestep
     5340  5.339E-06  1.000E-09  3.099E-08  1.131E-05       0      0      0      0   fixed timestep
     5360  5.359E-06  1.000E-09  3.100E-08  8.270E-07       0      0      0      0   fixed timestep
     5380  5.379E-06  1.000E-09  3.100E-08  5.158E-07       0      0      0      0   fixed timestep
     5400  5.399E-06  1.000E-09  3.100E-08  1.061E-06       0      0      0      0   fixed timestep
     5420  5.419E-06  1.000E-09  3.100E-08  6.176E-07       0      0      0      0   fixed timestep
     5440  5.439E-06  1.000E-09  3.100E-08  1.015E-06       0      0      0      0   fixed timestep
     5460  5.459E-06  1.000E-09  3.101E-08  9.372E-07       0      0      0      0   fixed timestep
     5480  5.479E-06  1.000E-09  3.101E-08  5.797E-07       0      0      0      0   fixed timestep
     5500  5.499E-06  1.000E-09  3.101E-08  5.960E-07       0      0      0      0   fixed timestep
     5520  5.519E-06  1.000E-09  3.101E-08  3.033E-06       0      0      0      0   fixed timestep
     5540  5.539E-06  1.000E-09  3.102E-08  6.839E-07       0      0      0      0   fixed timestep
     5560  5.559E-06  1.000E-09  3.102E-08  1.508E-06       0      0      0      0   fixed timestep
     5580  5.579E-06  1.000E-09  3.102E-08  1.978E-07       0      0      0      0   fixed timestep
     5600  5.599E-06  1.000E-09  3.102E-08  5.621E-07       0      0      0      0   fixed timestep
     5620  5.619E-06  1.000E-09  3.102E-08  1.865E-07       0      0      0      0   fixed timestep
