# C01-i_time   C02-time     C03-u        C04-v        C05-w        C06-rho      C07-T        C08-P        C09-Mass     C10-X Mom    C11-Y Mom    C12-H2       C13-O2       C14-O        C15-OH       C16-H2O      C17-H        C18-HO2      C19-H2O2     C20-CO       C21-CO2      C22-HCO      C23-N2    
#              (sec)        (cm/s)       (cm/s)       (cm/s)       (g/cm^3)     (K)          (atm)        g/cm^3                                                                                                                                                                                          
        5700  5.700E-006  -8.217E+001   0.000E+000   0.000E+000   2.657E-004   1.047E+003   1.000E+000   2.893E+002  -3.012E-015   0.000E+000   9.346E-003   1.854E-001   3.079E-010   9.674E-011   5.811E-010   6.372E-011   5.598E-010   2.032E-013   1.948E-001   1.254E-009   2.973E-013   6.104E-001
        5800  5.800E-006  -3.995E+001   0.000E+000   0.000E+000   2.660E-004   1.048E+003   1.000E+000   2.893E+002  -8.858E-015   0.000E+000   9.346E-003   1.854E-001   3.164E-010   9.992E-011   6.090E-010   6.579E-011   5.821E-010   2.146E-013   1.948E-001   1.293E-009   3.070E-013   6.104E-001
        5900  5.900E-006  -6.705E+001   0.000E+000   0.000E+000   2.660E-004   1.049E+003   1.000E+000   2.893E+002  -6.732E-015   0.000E+000   9.346E-003   1.854E-001   3.250E-010   1.032E-010   6.378E-010   6.791E-011   6.050E-010   2.265E-013   1.948E-001   1.332E-009   3.169E-013   6.104E-001
        6000  6.000E-006  -7.538E+001   0.000E+000   0.000E+000   2.661E-004   1.049E+003   1.000E+000   2.893E+002  -2.480E-015   0.000E+000   9.346E-003   1.854E-001   3.337E-010   1.065E-010   6.674E-010   7.007E-011   6.284E-010   2.389E-013   1.948E-001   1.372E-009   3.269E-013   6.104E-001
        6100  6.100E-006  -6.893E+001   0.000E+000   0.000E+000   2.662E-004   1.049E+003   9.999E-001   2.893E+002  -1.063E-015   0.000E+000   9.346E-003   1.854E-001   3.426E-010   1.099E-010   6.978E-010   7.226E-011   6.524E-010   2.517E-013   1.948E-001   1.412E-009   3.370E-013   6.104E-001
        6200  6.200E-006  -6.697E+001   0.000E+000   0.000E+000   2.663E-004   1.050E+003   9.999E-001   2.893E+002  -1.594E-015   0.000E+000   9.346E-003   1.854E-001   3.516E-010   1.133E-010   7.292E-010   7.449E-011   6.770E-010   2.650E-013   1.948E-001   1.453E-009   3.473E-013   6.104E-001
        6300  6.300E-006  -6.958E+001   0.000E+000   0.000E+000   2.664E-004   1.050E+003   9.999E-001   2.893E+002  -4.606E-015   0.000E+000   9.346E-003   1.854E-001   3.608E-010   1.168E-010   7.615E-010   7.677E-011   7.022E-010   2.789E-013   1.948E-001   1.495E-009   3.578E-013   6.104E-001
        6400  6.400E-006  -6.867E+001   0.000E+000   0.000E+000   2.665E-004   1.051E+003   1.000E+000   2.893E+002  -6.024E-015   0.000E+000   9.346E-003   1.854E-001   3.701E-010   1.203E-010   7.947E-010   7.908E-011   7.279E-010   2.932E-013   1.948E-001   1.537E-009   3.685E-013   6.104E-001
        6500  6.500E-006  -6.770E+001   0.000E+000   0.000E+000   2.667E-004   1.051E+003   1.000E+000   2.893E+002  -9.390E-015   0.000E+000   9.346E-003   1.854E-001   3.796E-010   1.239E-010   8.289E-010   8.143E-011   7.543E-010   3.080E-013   1.948E-001   1.580E-009   3.794E-013   6.104E-001
        6600  6.600E-006  -5.996E+001   0.000E+000   0.000E+000   2.668E-004   1.052E+003   9.999E-001   2.893E+002  -9.390E-015   0.000E+000   9.346E-003   1.854E-001   3.892E-010   1.276E-010   8.640E-010   8.383E-011   7.813E-010   3.234E-013   1.948E-001   1.623E-009   3.905E-013   6.104E-001
